X,Y,Z,S,I_Raw,I_Pro,I_DoG,N,Gain,X_in_px,Y_in_px,Z_in_px,X_um,Y_um,Z_um,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_abs_in_px,Y_abs_in_px,Z_abs_in_px,X_abs_um,Y_abs_um,Z_abs_um,S_um,X_ref_in_px,Y_ref_in_px,Z_ref_in_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px,ID
36.0,21.0,36.0,2.0,25187.0,6767.972043427464,4349.234887621531,2.0,-0.2175669815995506,160,93,36,72.0,42.0,72.0,104.0,21.0,36.0,462,93,36,208.0,42.0,72.0,4.0,302,0,0,68,0,0,340
42.0,48.0,40.0,2.0,26240.0,7820.972043427464,4232.309105316865,1.0,-0.29773328057517806,187,213,40,84.0,96.0,80.0,110.0,48.0,40.0,489,213,40,220.0,96.0,80.0,4.0,302,0,0,68,0,0,341
29.0,65.0,64.0,2.0,25268.0,6848.972043427464,4031.7003002635533,1.0,-0.258924417000523,129,289,64,58.0,130.0,128.0,97.0,65.0,64.0,431,289,64,194.0,130.0,128.0,4.0,302,0,0,68,0,0,342
22.0,11.0,21.0,2.0,25487.0,7067.972043427464,3938.6022808661573,2.0,-0.2843182329359451,98,49,21,44.0,22.0,42.0,90.0,11.0,21.0,400,49,21,180.0,22.0,42.0,4.0,302,0,0,68,0,0,343
6.0,40.0,24.0,2.0,28293.0,9873.972043427464,3776.486165645116,1.0,-0.4466872675182246,27,178,24,12.0,80.0,48.0,74.0,40.0,24.0,329,178,24,148.0,80.0,48.0,4.0,302,0,0,68,0,0,344
25.0,54.0,12.0,2.0,25234.0,6814.972043427464,3746.331892900102,2.0,-0.2905550459514951,111,240,12,50.0,108.0,24.0,93.0,54.0,12.0,413,240,12,186.0,108.0,24.0,4.0,302,0,0,68,0,0,345
26.0,23.0,4.0,2.0,25190.0,6770.972043427464,3572.867712776476,2.0,-0.30917960892934915,116,102,4,52.0,46.0,8.0,94.0,23.0,4.0,418,102,4,188.0,46.0,8.0,4.0,302,0,0,68,0,0,346
48.0,37.0,45.0,2.0,26616.0,8196.972043427464,3487.294165958477,3.0,-0.40307861812372214,213,164,45,96.0,74.0,90.0,116.0,37.0,45.0,515,164,45,232.0,74.0,90.0,4.0,302,0,0,68,0,0,347
50.0,18.0,45.0,2.0,24938.0,6518.972043427464,3369.3412889166134,3.0,-0.31852052505340805,222,80,45,100.0,36.0,90.0,118.0,18.0,45.0,524,80,45,236.0,36.0,90.0,4.0,302,0,0,68,0,0,348
11.0,38.0,6.0,2.0,28667.0,10247.972043427464,3150.1805910011376,1.0,-0.5297589634997489,49,169,6,22.0,76.0,12.0,79.0,38.0,6.0,351,169,6,158.0,76.0,12.0,4.0,302,0,0,68,0,0,349
