,X,Y,Z,S,I_Raw,I_Pro,I_DoG,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px
116,43.0,50.0,9.0,2.0,33420.0,12246.162813101706,6108.093263175848,43.0,50.0,9.0,0,0,0
117,12.0,32.0,22.0,2.0,32415.0,11241.162813101706,6096.72394439005,12.0,32.0,22.0,0,0,0
118,9.0,16.0,7.0,2.0,33469.0,12295.162813101706,6019.045576680263,9.0,16.0,7.0,0,0,0
119,32.0,27.0,4.0,2.0,35271.0,14097.162813101706,6001.963090753928,32.0,27.0,4.0,0,0,0
120,4.0,43.0,65.0,2.0,31553.0,10379.162813101706,5991.050623112303,4.0,43.0,65.0,0,0,0
121,2.0,20.0,50.0,2.0,32386.0,11212.162813101706,5949.497829047285,2.0,20.0,50.0,0,0,0
122,15.0,11.0,14.0,2.0,49274.0,28100.162813101706,5845.3340291727245,15.0,11.0,14.0,0,0,0
123,18.0,28.0,27.0,2.0,32201.0,11027.162813101706,5827.363413260978,18.0,28.0,27.0,0,0,0
124,13.0,51.0,43.0,2.0,31380.0,10206.162813101706,5772.029910705222,13.0,51.0,43.0,0,0,0
125,49.0,28.0,5.0,2.0,33205.0,12031.162813101706,5696.857115787693,49.0,28.0,5.0,0,0,0
126,19.0,46.0,29.0,2.0,30250.0,9076.162813101706,5692.877610631014,19.0,46.0,29.0,0,0,0
127,7.0,34.0,48.0,2.0,35328.0,14154.162813101706,5681.269484317358,7.0,34.0,48.0,0,0,0
128,9.0,54.0,59.0,2.0,33529.0,12355.162813101706,5646.458797643317,9.0,54.0,59.0,0,0,0
129,61.0,40.0,26.0,2.0,33692.0,12518.162813101706,5627.397751166739,61.0,40.0,26.0,0,0,0
130,64.0,23.0,8.0,2.0,32220.0,11046.162813101706,5581.753249922825,64.0,23.0,8.0,0,0,0
131,13.0,28.0,26.0,2.0,31325.0,10151.162813101706,5558.953995035617,13.0,28.0,26.0,0,0,0
132,10.0,26.0,19.0,2.0,38448.0,17274.162813101706,5499.095203600702,10.0,26.0,19.0,0,0,0
133,40.0,18.0,52.0,2.0,31502.0,10328.162813101706,5497.5507490470445,40.0,18.0,52.0,0,0,0
134,50.0,33.0,17.0,2.0,33448.0,12274.162813101706,5453.436886769766,50.0,33.0,17.0,0,0,0
135,23.0,11.0,53.0,2.0,30994.0,9820.162813101706,5429.5310859547635,23.0,11.0,53.0,0,0,0
